id;title;description;type
1;homogeneous;quantify;Accounts circuit
2;Saint Lucia;generate Division exploit;content-based
3;Chicken;programming Lithuanian Litas;Checking Account
4;Frozen;parse;AGP Architect Profit-focused
5;orchestration HTTP;1080p Licensed compressing;viral
6;Quality El Salvador Tuna;Berkshire Electronics;Bike calculating
7;Wooden;connecting;Concrete 1080p monitoring
8;redundant;incubate;Fantastic Plastic Pants Steel
9;Refined;Frozen sensor Springs;Quality Car
10;Antarctica (the territory South of 60 deg S) benchmark;Chair Graphical User Interface Refined;input cultivate real-time
