id;description;min_price;start_date;end_date
1;Implementation;65757;2020-07-27T03:03:10;2020-07-26T21:06:08
2;Licensed Planner Corporate;9581;2020-07-26T20:57:44;2020-07-26T18:08:06
3;Common;21118;2020-07-26T23:03:03;2020-07-27T03:13:14
4;Oklahoma Place port;35906;2020-07-26T18:46:32;2020-07-26T15:46:16
5;Clothing whiteboard Guatemala;20975;2020-07-27T05:03:19;2020-07-27T03:08:20
6;Sports;74063;2020-07-26T17:52:49;2020-07-27T07:19:00
7;technologies Designer;94281;2020-07-27T00:39:08;2020-07-26T19:15:48
8;Mauritania Handmade Orchestrator;44891;2020-07-26T19:36:18;2020-07-27T02:31:00
9;connecting Outdoors Practical;32408;2020-07-26T19:51:37;2020-07-26T21:38:12
10;COM;28518;2020-07-26T23:12:07;2020-07-27T07:46:18
