id;message;notification_type;create_date;confirm_date;employee_id
1;matrix Small Versatile;TELEGRAM;2020-07-26T19:13:10;2020-07-26T20:58:02;82775
2;override;EMAIL;2020-07-27T04:19:54;2020-07-26T18:51:21;2046
3;Malaysian Ringgit;TELEGRAM;2020-07-27T04:27:55;2020-07-27T06:42:19;32503
4;encoding;EMAIL;2020-07-26T16:05:39;2020-07-26T21:06:21;53610
5;Regional feed Frozen;TELEGRAM;2020-07-26T15:22:31;2020-07-27T00:17:55;80148
6;Assistant B2B Solutions;TELEGRAM;2020-07-27T04:46:35;2020-07-26T23:35:21;25825
7;Plains bus Fish;TELEGRAM;2020-07-26T17:23:44;2020-07-27T07:12:47;55778
8;Table;TELEGRAM;2020-07-26T19:56:11;2020-07-26T23:11:11;17273
9;repurpose Web solid state;EMAIL;2020-07-27T05:10:27;2020-07-27T00:23:51;87963
10;Isle Baht auxiliary;TELEGRAM;2020-07-27T08:15:25;2020-07-26T23:47:46;38729
