id;start_date;end_date;price;payment_type;order_status;employee_id
1;2020-07-27T05:37:07;2020-07-26T16:10:38;19508;CARD;SIGN_ONLINE;7751
2;2020-07-26T22:11:52;2020-07-27T00:59:00;95333;CACHE;CREATED_PACKAGE;93004
3;2020-07-27T03:16:05;2020-07-26T23:25:15;92770;CACHE;PAYMENT_CREATED;19133
4;2020-07-27T07:36:33;2020-07-26T17:33:28;63434;CACHE;SIGN_PERSON;92735
5;2020-07-26T22:03:39;2020-07-27T01:18:15;37714;CACHE;EDIT_BUDGET;89753
6;2020-07-27T05:50:56;2020-07-27T02:03:58;34623;CARD;EDIT_BUDGET;45482
7;2020-07-27T00:19:36;2020-07-26T16:31:25;19595;CARD;SIGN_ONLINE;66206
8;2020-07-26T23:32:39;2020-07-26T13:14:48;25757;CACHE;CREATED_PACKAGE;16254
9;2020-07-26T23:17:51;2020-07-27T09:08:22;39996;CACHE;SIGN_PERSON;53615
10;2020-07-27T00:35:11;2020-07-27T02:43:07;53480;CACHE;SIGN_PERSON;70116
