id;send_date;payment_date;price;employee_id
1;2020-07-27T01:49:12;2020-07-26T18:49:15;88597;53699
2;2020-07-26T16:18:00;2020-07-27T02:50:35;99431;6097
3;2020-07-27T10:13:59;2020-07-27T11:37:40;67377;90632
4;2020-07-26T18:24:01;2020-07-26T19:32:22;72291;48001
5;2020-07-27T05:41:48;2020-07-27T00:06:34;21018;90041
6;2020-07-27T11:40:35;2020-07-27T02:52:35;88685;53035
7;2020-07-27T00:45:19;2020-07-26T19:13:03;82278;23037
8;2020-07-27T07:25:58;2020-07-26T17:37:20;2088;38834
9;2020-07-27T02:15:50;2020-07-27T10:46:17;51580;3628
10;2020-07-27T11:30:21;2020-07-27T03:39:37;95772;93728
